Solution_Index,R2,MSE,Feature_Importances
36,0.9992948119172451,0.004002728766956237,"0.025567825388625672,0.0,0.0,0.0,0.9628280562952867,0.0,0.011604118316087658"
37,0.9985166850094526,0.008419466704438503,"0.019860889001874344,0.0,0.0,0.0,0.9703669463323327,0.0,0.009772164665792914"
38,0.9985046015606923,0.008488053751127454,"0.019856715499078553,0.0,0.0,0.0,0.970361643833977,0.0,0.009781640666944482"
39,0.9981529923599193,0.010483828065920985,"0.0,0.0,0.0,0.0,0.9697544263904808,0.019029329700429618,0.011216243909089619"
40,0.9980729552710561,0.010938127799354734,"0.0,0.0,0.0,0.0,0.9699000457105289,0.01835843076066426,0.011741523528806848"
41,0.9980622011327754,0.0109991695266788,"0.0,0.0,0.0,0.0,0.9697865863939358,0.01832882084680715,0.011884592759257096"
42,0.994901225704552,0.028941230074218387,"0.0,0.0,0.0,0.0,1.0,0.0,0.0"
43,0.9987493965448236,0.00709856923068436,"0.0,0.0,0.0,0.0,0.9668819857983627,0.033118014201637264,0.0"
44,0.9935546052625697,0.03658480277929979,"0.0,0.0,0.0,0.0,1.0,0.0,0.0"
45,0.9989500776582521,0.0059594801204900915,"0.10055176694244108,0.0,0.2920465576248764,0.6074016754326825,0.0,0.0,0.0"
46,0.9974615255128986,0.014408673518716561,"0.0,0.15202953499062355,0.0,0.0,0.0,0.8479704650093763,0.0"
47,0.9984441127538898,0.008831395184411233,"0.0,0.21259501473492903,0.0,0.0,0.0,0.7874049852650711,0.0"
48,0.9888452407881765,0.06331569786489698,"0.0,0.0,0.0,0.4264827143054036,0.0,0.0,0.5735172856945965"
49,0.9968776797705576,0.01772264918773726,"0.0,0.0,0.0,0.5716791676311687,0.0,0.0,0.42832083236883145"
